Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Temperature (C)
0.89,14.1197,251,15.826300000000002,1015.13,9.472222222222221
0.86,14.2646,259,15.826300000000002,1015.63,9.355555555555558
0.89,3.9284000000000003,204,14.9569,1015.94,9.377777777777778
0.83,14.1036,269,15.826300000000002,1016.41,8.28888888888889
0.83,11.0446,259,15.826300000000002,1016.51,8.755555555555553
0.85,13.9587,258,14.9569,1016.66,9.222222222222221
0.95,12.3648,259,9.982000000000001,1016.72,7.733333333333334
0.89,14.1519,260,9.982000000000001,1016.84,8.77222222222222
0.82,11.3183,259,9.982000000000001,1017.37,10.82222222222222
0.72,12.525800000000002,279,9.982000000000001,1017.22,13.77222222222222
0.67,17.5651,290,11.2056,1017.42,16.016666666666666
0.54,19.7869,316,11.4471,1017.74,17.144444444444446
0.55,21.944300000000002,281,11.270000000000001,1017.59,17.800000000000004
0.51,20.6885,289,11.270000000000001,1017.48,17.333333333333332
0.47,15.375500000000002,262,11.4471,1017.17,18.87777777777778
0.46,10.4006,288,11.270000000000001,1016.47,18.911111111111115
0.6,14.4095,251,11.270000000000001,1016.15,15.38888888888889
0.63,11.157300000000001,230,11.4471,1016.17,15.550000000000002
0.69,8.5169,163,11.2056,1015.82,14.255555555555553
0.7,7.631400000000001,139,11.2056,1015.83,13.144444444444442
0.77,7.3899,147,11.0285,1015.85,11.549999999999999
0.76,4.9266000000000005,160,9.982000000000001,1015.77,11.183333333333334
0.79,6.6493,163,15.826300000000002,1015.4,10.116666666666667
0.77,3.9284000000000003,152,14.9569,1015.51,10.2
0.62,16.985500000000002,150,15.826300000000002,1014.4,10.42222222222222
0.66,17.2109,149,15.826300000000002,1014.2,9.911111111111113
0.8,10.8192,163,14.9569,1008.71,11.183333333333334
0.79,11.0768,180,15.826300000000002,1014.47,7.155555555555556
0.82,6.6493,161,15.826300000000002,1014.45,6.111111111111111
0.83,13.0088,135,14.9569,1014.49,6.788888888888888
0.85,11.1734,141,6.1985,1014.52,7.26111111111111
0.83,12.8156,150,8.05,1014.16,7.799999999999999
0.78,13.7494,160,9.982000000000001,1014.24,9.872222222222225
0.72,15.633100000000002,150,9.982000000000001,1014.25,12.222222222222221
0.61,17.549000000000003,151,9.982000000000001,1013.96,15.094444444444447
0.52,22.7815,169,9.982000000000001,1013.85,17.355555555555558
0.46,23.892400000000002,169,9.982000000000001,1013.04,19.00555555555555
0.4,28.3682,170,9.982000000000001,1012.22,20.04444444444444
0.4,26.903100000000002,187,10.3523,1011.44,21.049999999999997
0.37,25.695600000000002,179,9.982000000000001,1010.52,21.18333333333333
0.4,25.309200000000004,162,9.982000000000001,1009.83,20.11666666666666
0.36,18.1125,161,10.3523,1009.26,20.216666666666665
0.43,23.425500000000003,160,9.982000000000001,1008.76,20
0.5,20.0445,150,11.2056,1008.36,17.800000000000004
0.53,21.3969,149,9.982000000000001,1008.11,16.06111111111111
0.55,21.3808,159,9.982000000000001,1008.15,15.02222222222222
0.58,20.0123,159,15.826300000000002,1007.85,14.422222222222224
0.59,16.5025,168,14.9569,1007.89,14.255555555555553
0.6,17.0982,160,15.826300000000002,1007.36,13.77222222222222
0.63,14.3612,160,15.826300000000002,1007.26,13.283333333333331
0.87,22.0409,32,6.6976,1005.1,8.633333333333333
0.83,11.3344,152,15.826300000000002,1007.01,11.25
0.89,11.2056,180,9.9015,1006.73,11.183333333333334
0.95,10.4006,161,6.6976,1006.59,10.694444444444445
0.93,12.0106,140,5.9731000000000005,1006.34,11.11111111111111
0.93,9.209200000000001,103,10.8031,1006.09,11.11111111111111
0.82,9.9015,113,10.6743,1005.97,12.166666666666666
0.79,13.8299,129,10.8192,1005.63,12.755555555555556
0.84,9.0965,159,10.8192,1005.83,13.838888888888887
0.73,0.6440000000000001,207,10.7548,1005.97,16.183333333333334
0.67,0.6762,153,10.8997,1005.64,17.516666666666666
0.67,3.864,4,10.851400000000002,1005.2,17.383333333333333
